dataset,model,regime,seed,test_accuracy,test_accuracy_dedup,test_accuracy_nbr_covered,val_accuracy,epochs_run,split_index
CiteSeer,GCN,inductive,5,0.6779999732971191,0.6779999732971191,0.6779999732971191,0.6940000057220459,221,5
CiteSeer,GraphSAGE,transductive,5,0.6940000057220459,0.6940000057220459,0.6940000057220459,0.6859999895095825,103,5
CiteSeer,GraphSAGE,density_control,5,0.6779999732971191,0.6779999732971191,0.6779999732971191,0.6819999814033508,104,5
CiteSeer,GraphSAGE,inductive,5,0.6520000100135803,0.6520000100135803,0.6520000100135803,0.6480000019073486,207,5
CiteSeer,MLP,transductive,5,0.5120000243186951,0.5120000243186951,0.5120000243186951,0.5559999942779541,108,5
CiteSeer,MLP,density_control,5,0.5120000243186951,0.5120000243186951,0.5120000243186951,0.5559999942779541,108,5
CiteSeer,MLP,inductive,5,0.5120000243186951,0.5120000243186951,0.5120000243186951,0.5559999942779541,108,5
CiteSeer,LabelProp,transductive,5,0.3700000047683716,0.3700000047683716,0.3700000047683716,0.3479999899864197,0,5
CiteSeer,LabelProp,density_control,5,0.3700000047683716,0.3700000047683716,0.3700000047683716,0.3479999899864197,0,5
CiteSeer,LabelProp,inductive,5,0.3700000047683716,0.3700000047683716,0.3700000047683716,0.3479999899864197,0,5
CiteSeer,GCN,transductive,6,0.7020000219345093,0.7020000219345093,0.7020000219345093,0.7080000042915344,105,6
CiteSeer,GCN,density_control,6,0.7039999961853027,0.7039999961853027,0.7039999961853027,0.6840000152587891,106,6
CiteSeer,GCN,inductive,6,0.6859999895095825,0.6859999895095825,0.6859999895095825,0.6759999990463257,104,6
CiteSeer,GraphSAGE,transductive,6,0.6679999828338623,0.6679999828338623,0.6679999828338623,0.6740000247955322,106,6
CiteSeer,GraphSAGE,density_control,6,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.6299999952316284,113,6
CiteSeer,GraphSAGE,inductive,6,0.6759999990463257,0.6759999990463257,0.6759999990463257,0.628000020980835,107,6
CiteSeer,MLP,transductive,6,0.5,0.5,0.5,0.5260000228881836,109,6
CiteSeer,MLP,density_control,6,0.5,0.5,0.5,0.5260000228881836,109,6
CiteSeer,MLP,inductive,6,0.5,0.5,0.5,0.5260000228881836,109,6
CiteSeer,LabelProp,transductive,6,0.3240000009536743,0.3240000009536743,0.3240000009536743,0.3319999873638153,0,6
CiteSeer,LabelProp,density_control,6,0.3240000009536743,0.3240000009536743,0.3240000009536743,0.3319999873638153,0,6
CiteSeer,LabelProp,inductive,6,0.3240000009536743,0.3240000009536743,0.3240000009536743,0.3319999873638153,0,6
CiteSeer,GCN,transductive,7,0.6940000057220459,0.6940000057220459,0.6940000057220459,0.7400000095367432,110,7
CiteSeer,GCN,density_control,7,0.6880000233650208,0.6880000233650208,0.6880000233650208,0.7260000109672546,113,7
CiteSeer,GCN,inductive,7,0.6700000166893005,0.6700000166893005,0.6700000166893005,0.734000027179718,214,7
CiteSeer,GraphSAGE,transductive,7,0.671999990940094,0.671999990940094,0.671999990940094,0.7300000190734863,105,7
CiteSeer,GraphSAGE,density_control,7,0.6840000152587891,0.6840000152587891,0.6840000152587891,0.7139999866485596,107,7
CiteSeer,GraphSAGE,inductive,7,0.6660000085830688,0.6660000085830688,0.6660000085830688,0.6980000138282776,108,7
CiteSeer,MLP,transductive,7,0.5220000147819519,0.5220000147819519,0.5220000147819519,0.5740000009536743,112,7
CiteSeer,MLP,density_control,7,0.5220000147819519,0.5220000147819519,0.5220000147819519,0.5740000009536743,112,7
CiteSeer,MLP,inductive,7,0.5220000147819519,0.5220000147819519,0.5220000147819519,0.5740000009536743,112,7
CiteSeer,LabelProp,transductive,7,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3580000102519989,0,7
CiteSeer,LabelProp,density_control,7,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3580000102519989,0,7
CiteSeer,LabelProp,inductive,7,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.3580000102519989,0,7
CiteSeer,GCN,transductive,8,0.6620000004768372,0.6620000004768372,0.6620000004768372,0.6520000100135803,147,8
